479	17566	481	
53	17183	476	
53	476	527	
53	527	17878	
53	17878	5866	
53	5866	511	
53	511	17306	
53	17306	463	
53	463	17182	
53	17182	17183	
463	17306	17078	
463	17078	17182	
476	17183	17180	
476	17180	495	
476	495	510	
476	510	527	
511	5730	17406	
5866	17878	6004	
17878	17982	18120	
54	1866	17495	
54	17495	17847	
54	17847	558	
54	558	17606	
54	17606	1866	
558	17847	18228	
1866	17496	17495	
1866	17606	17274	
17495	17496	17848	
17495	17848	17847	
17847	18367	18228	
55	17388	474	
55	474	56	
55	56	67	
55	67	1911	
55	1911	17970	
55	17970	17863	
55	17863	526	
55	526	5673	
55	5673	17388	
474	17388	17170	
526	17863	18108	
1911	18379	18242	
1911	18242	17970	
17863	18106	18108	
58	488	1876	
58	1876	59	
58	59	72	
58	72	522	
58	522	488	
59	1876	17596	
59	17596	17957	
59	17957	18084	
72	18361	1920	
72	17710	522	
488	522	17366	
488	17363	1876	
522	17710	17365	
522	17365	17366	
1876	17363	17153	
60	17484	17485	
60	17485	17707	
60	17707	17961	
60	17961	66	
60	66	1882	
60	1882	17484	
66	17961	18220	
66	18220	5987	
66	5987	5916	
66	5916	17597	
66	17597	1882	
1882	17597	17482	
17961	18080	18220	
61	52	57	
61	57	68	
61	68	6088	
61	6088	76	
61	76	67	
61	67	56	
61	56	52	
76	6088	18512	
6088	18513	18512	
62	5695	536	
62	536	582	
62	582	5956	
62	5956	5695	
536	5695	5586	
536	5586	5746	
582	18325	5956	
5695	5956	5955	
63	17469	537	
63	537	74	
63	74	568	
63	568	17690	
63	17690	17469	
74	537	5901	
74	5901	18060	
74	6132	584	
74	584	568	
537	17469	17470	
537	17470	17579	
537	17579	5901	
64	17708	17711	
64	17711	5988	
64	5988	5985	
64	5985	17707	
64	17707	17708	
5985	5988	6153	
5985	18080	17961	
5985	17961	17707	
5988	17711	17840	
5988	17840	18088	
5988	18088	17838	
5988	18364	6153	
65	17709	17710	
65	17710	72	
65	72	1920	
65	1920	18082	
65	18082	17709	
1920	18361	18485	
1920	18485	18082	
18082	18485	18215	
69	510	17736	
69	17736	17982	
69	17982	17878	
69	17878	527	
69	527	510	
17736	17872	17982	
70	5739	5813	
70	5813	591	
70	591	80	
70	80	73	
70	73	5739	
73	80	18580	
73	592	549	
80	591	3350	
591	5813	5814	
591	5814	3350	
5739	5740	5813	
71	5694	5695	
71	5695	5955	
71	5955	1926	
71	1926	17806	
71	17806	5827	
71	5827	1890	
71	1890	5694	
1890	5827	5645	
1926	5955	18325	
1926	18325	18321	
5955	5956	18325	
75	5987	18222	
75	18222	84	
75	84	79	
75	79	572	
75	572	556	
75	556	5916	
75	5916	5987	
79	84	6225	
84	18222	18491	
84	18491	18746	
84	18746	18886	
84	18886	6225	
556	17712	17597	
556	17597	5916	
5987	18220	18222	
77	17928	17808	
77	17808	18052	
77	18052	18323	
77	18323	18320	
77	18320	18322	
77	18322	17928	
17808	17928	17813	
17808	17809	18052	
17928	18322	18186	
17928	18186	18058	
78	18226	572	
78	572	79	
78	79	6225	
78	6225	6304	
78	6304	18629	
78	18629	18226	
6304	6375	18629	
81	18040	18041	
81	18041	87	
81	87	95	
81	95	651	
81	651	6349	
81	6349	6277	
81	6277	594	
81	594	18174	
81	18174	18040	
87	6350	95	
95	6350	1961	
95	1961	6488	
95	6420	651	
594	18046	18044	
594	18044	18174	
651	6420	6611	
651	6611	6610	
82	18041	1924	
82	1924	91	
82	91	6350	
82	6350	87	
82	87	18041	
91	1924	18314	
91	18584	18993	
91	18993	6421	
91	6421	6350	
83	18325	582	
83	582	610	
83	610	6200	
83	6200	18593	
83	18593	18592	
83	18592	18325	
85	18273	18417	
85	18417	18418	
85	18418	18560	
85	18560	6333	
85	6333	645	
85	645	6332	
85	6332	18273	
645	6475	6332	
6332	6475	18808	
6332	18271	18272	
6332	18272	18273	
18418	18561	18560	
86	592	73	
86	73	18580	
86	18580	18833	
86	18833	649	
86	649	641	
86	641	592	
641	649	6487	
641	6487	650	
649	19104	6555	
88	18717	18324	
88	18324	3404	
88	3404	18717	
3404	18324	18184	
3404	6201	18717	
18324	18717	18716	
89	602	18614	
89	18614	18875	
89	18875	93	
89	93	18207	
89	18207	602	
93	18875	6500	
93	6500	6371	
93	6371	18615	
602	18207	17945	
602	17945	17946	
602	17946	18073	
18875	19020	19123	
90	18223	18224	
90	18224	94	
90	94	1963	
90	1963	18749	
90	18749	18493	
90	18493	18365	
90	18365	18223	
94	18224	18225	
94	1970	1963	
1963	1970	1985	
1963	3454	18749	
92	6359	613	
92	613	612	
92	612	654	
92	654	690	
92	690	6359	
612	6282	654	
613	6359	6132	
654	19238	690	
690	19238	6620	
96	18451	6277	
96	6277	6349	
96	6349	651	
96	651	110	
96	110	105	
96	105	642	
96	642	18451	
105	6491	18710	
105	18710	642	
110	651	6610	
97	18225	6375	
97	6375	104	
97	104	109	
97	109	1970	
97	1970	94	
97	94	18225	
104	6375	6304	
104	6304	19134	
104	19135	109	
109	19135	121	
109	121	1970	
6375	18225	18629	
98	6403	6335	
98	6335	6336	
98	6336	6404	
98	6404	6542	
98	6542	6598	
98	6598	6541	
98	6541	6403	
6335	18423	6336	
6336	18423	18424	
6403	6541	18972	
6404	6406	6543	
6404	6543	6542	
6541	6598	6600	
6542	6543	6678	
99	654	6282	
99	6282	19006	
99	19006	19236	
99	19236	19238	
99	19238	654	
6282	18720	19005	
6282	19005	19006	
19006	19234	19351	
19236	19609	19612	
19236	19612	19238	
19238	19612	19355	
100	655	6284	
100	6284	101	
100	101	691	
100	691	655	
101	6284	6285	
101	111	691	
655	3388	6284	
691	6621	6775	
691	6622	705	
102	18471	18609	
102	18609	6497	
102	6497	112	
102	112	117	
102	117	108	
102	108	18869	
102	18869	18472	
102	18472	18471	
108	19019	18869	
112	6497	6624	
117	130	127	
6497	18732	18870	
18472	18869	18734	
103	630	6371	
103	6371	6500	
103	6500	118	
103	118	113	
103	113	674	
103	674	630	
113	2004	674	
118	19473	19618	
118	19618	19619	
630	18619	18349	
630	18349	18615	
630	18615	6371	
674	6435	18877	
106	1961	6421	
106	6421	719	
106	719	6559	
106	6559	1961	
719	6421	19108	
719	19108	19459	
719	19460	6559	
1961	6350	6421	
6559	19460	6690	
107	6359	690	
107	690	6620	
107	6620	722	
107	722	6621	
107	6621	111	
107	111	101	
107	101	6285	
107	6285	6359	
111	6621	691	
722	762	6775	
722	6775	6621	
114	110	6610	
114	6610	6691	
114	6691	6766	
114	6766	6765	
114	6765	6688	
114	6688	6491	
114	6491	105	
114	105	110	
6688	6765	19721	
6691	6845	6766	
6765	19722	19721	
115	688	19232	
115	19232	737	
115	737	6920	
115	6920	125	
115	125	19234	
115	19234	688	
125	6920	6998	
125	6998	6921	
125	19351	19234	
688	19234	19005	
116	19019	108	
116	108	117	
116	117	127	
116	127	126	
116	126	19248	
116	19248	19120	
116	19120	19019	
126	127	134	
119	1995	6699	
119	6699	6779	
119	6779	3568	
119	3568	19363	
119	19363	19130	
119	19130	6503	
119	6503	1969	
119	1969	1995	
1995	6504	6699	
3568	6779	19364	
3568	19364	19026	
3568	19026	19130	
3568	19130	19363	
6779	19628	19478	
6779	19478	19364	
120	1985	1970	
120	1970	121	
120	121	19484	
120	19484	3569	
120	3569	19033	
120	19033	3548	
120	3548	1997	
120	1997	1985	
121	19135	19481	
121	19481	19634	
121	19634	19484	
1985	1997	3454	
1997	3548	19033	
1997	19033	3454	
122	112	6624	
122	6624	128	
122	128	131	
122	131	130	
122	130	117	
122	117	112	
128	7001	131	
131	7001	832	
131	832	7067	
123	113	118	
123	118	19619	
123	19619	19620	
123	19620	6777	
123	6777	2004	
123	2004	113	
2004	6777	3546	
6777	19620	6859	
19619	19738	19862	
19619	19862	19620	
124	697	6639	
124	6639	6794	
124	6794	6940	
124	6940	6709	
124	6709	6578	
124	6578	697	
697	6578	18894	
697	18894	18759	
697	18759	6450	
6578	18893	18894	
6639	19142	19382	
6709	6940	6868	
6794	7009	6940	
6940	7009	7011	
129	19427	19313	
129	19313	19428	
129	19428	132	
129	132	6968	
129	6968	748	
129	748	19427	
132	7102	6968	
748	6968	19561	
748	19561	19311	
748	19311	19427	
6968	7105	7104	
133	19248	126	
133	126	134	
133	134	139	
133	139	135	
133	135	19359	
133	19359	724	
133	724	19248	
135	139	7209	
135	793	19472	
135	19472	19359	
136	19532	19776	
136	19776	20099	
136	20099	19990	
136	19990	19530	
136	19530	19531	
136	19531	19532	
19530	19990	19989	
19776	19898	20099	
137	19826	19823	
137	19823	20052	
137	20052	20050	
137	20050	20051	
137	20051	19822	
137	19822	19826	
20050	20052	20279	
138	19717	2049	
138	2049	19836	
138	19836	2086	
138	2086	145	
138	145	142	
138	142	19837	
138	19837	787	
138	787	771	
138	771	19717	
142	145	7266	
142	7266	19944	
142	19944	19837	
771	787	19459	
2086	19836	19945	
2086	19945	20303	
2086	7337	7336	
2086	7336	7402	
140	19617	7002	
140	7002	2075	
140	2075	144	
140	144	7211	
140	7211	849	
140	849	832	
140	832	7001	
140	7001	128	
140	128	19617	
144	2075	2114	
144	2114	7345	
144	878	7211	
832	849	7067	
849	7211	7282	
849	7282	7067	
2075	7002	19740	
7002	19617	19740	
141	7102	2045	
141	2045	19920	
141	19920	2095	
141	2095	7169	
141	7169	7102	
2045	19430	19562	
2045	19562	19920	
2095	7376	7169	
